STATIONS_ID,date,RS
6263,2013-07-29,38.0
6263,2011-07-07,37.8
6263,2016-05-12,37.4
6263,2008-10-29,36.9
6263,2013-04-19,36.4
6263,2020-08-03,36.1
6263,2004-07-08,35.5
6263,2019-06-15,34.6
6263,2022-08-05,34.2
6263,2012-07-01,33.3
6263,2014-07-08,33.3
6263,2018-06-12,33.1
6263,2024-10-01,32.6
6263,2022-05-05,32.1
6263,2020-02-03,31.8
6263,2015-06-14,31.7
6263,2015-05-01,31.3
6263,2025-01-27,31.27
6263,2006-09-11,30.9
6263,2014-11-05,30.4
6263,2025-08-20,30.1
6263,2024-06-22,29.9
6263,2022-08-18,29.7
