STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       5731;19610101;    5;   1.8;   1;   0;   0;eor
       5731;19610102;    5;   2.6;   1;   0;   0;eor
       5731;19610103;    5;   9.1;   8;   0;   0;eor
       5731;19610104;    5;   0.0;   1;   0;   0;eor
       5731;19610105;    5;   2.9;   1;   0;   0;eor
       5731;19610106;    5;   3.4;   8;   0;   0;eor
       5731;19610107;    5;   1.2;   8;   0;   0;eor
       5731;19610108;    5;   2.6;   8;   0;   0;eor
       5731;19610109;    5;   7.9;   8;   0;   0;eor
       5731;19610110;    5;   0.9;   1;   0;   0;eor
       5731;19610111;    5;   0.5;   1;   0;   0;eor
       5731;19610112;    5;   0.0;   0;   0;   0;eor
       5731;19610113;    5;   0.0;   0;   0;   0;eor
       5731;19610114;    5;   0.0;   0;   0;   0;eor
       5731;19610115;    5;   0.0;   0;   0;   0;eor
       5731;19610116;    5;   0.0;   0;   0;   0;eor
       5731;19610117;    5;   0.0;   0;   0;   0;eor
       5731;19610118;    5;   0.0;   0;   0;   0;eor
       5731;19610119;    5;   0.0;   0;   0;   0;eor
       5731;19610120;    5;   2.5;   7;   0;   0;eor
       5731;19610121;    5;   0.0;   0;   0;   0;eor
       5731;19610122;    5;   2.1;   7;   0;   0;eor
       5731;19610123;    5;   9.3;   7;   0;   0;eor
       5731;19610124;    5;   7.4;   7;   0;   0;eor
       5731;19610125;    5;   2.6;   8;   0;   0;eor
       5731;19610126;    5;   0.5;   7;   0;   0;eor
       5731;19610127;    5;   0.0;   0;   0;   0;eor
       5731;19610128;    5;   7.2;   1;   0;   0;eor
       5731;19610129;    5;   0.0;   0;   0;   0;eor
       5731;19610130;    5;  12.8;   1;   0;   0;eor
       5731;19610131;    5;  16.5;   1;   0;   0;eor
       5731;19610201;    5;   7.8;   8;   0;   0;eor
       5731;19610202;    5;  20.7;   8;   0;   0;eor
       5731;19610203;    5;   1.3;   8;   0;   0;eor
       5731;19610204;    5;   5.2;   8;   0;   0;eor
       5731;19610205;    5;   2.7;   1;   0;   0;eor
       5731;19610206;    5;   1.2;   1;   0;   0;eor
       5731;19610207;    5;   2.5;   1;   0;   0;eor
       5731;19610208;    5;   0.2;   1;   0;   0;eor
       5731;19610209;    5;   6.5;   1;   0;   0;eor
       5731;19610210;    5;   0.0;   0;   0;   0;eor
       5731;19610211;    5;   2.5;   1;   0;   0;eor
       5731;19610212;    5;   3.4;   1;   0;   0;eor
       5731;19610213;    5;   0.0;   0;   0;   0;eor
       5731;19610214;    5;   0.0;   0;   0;   0;eor
       5731;19610215;    5;   0.0;   0;   0;   0;eor
       5731;19610216;    5;   0.0;   0;   0;   0;eor
       5731;19610217;    5;   0.0;   0;   0;   0;eor
       5731;19610218;    5;   0.0;   0;   0;   0;eor
       5731;19610219;    5;   0.0;   0;   0;   0;eor
       5731;19610220;    5;   0.0;   0;   0;   0;eor
       5731;19610221;    5;   0.0;   0;   0;   0;eor
       5731;19610222;    5;   0.0;   0;   0;   0;eor
       5731;19610223;    5;   0.0;   0;   0;   0;eor
       5731;19610224;    5;   0.0;   0;   0;   0;eor
       5731;19610225;    5;   2.0;   1;   0;   0;eor
       5731;19610226;    5;   0.0;   0;   0;   0;eor
       5731;19610227;    5;   0.0;   0;   0;   0;eor
       5731;19610228;    5;   9.8;   1;   0;   0;eor
       5731;19610301;    5;   0.0;   0;   0;   0;eor
       5731;19610302;    5;   0.4;   1;   0;   0;eor
       5731;19610303;    5;   0.0;   1;   0;   0;eor
       5731;19610304;    5;   0.0;   0;   0;   0;eor
       5731;19610305;    5;   0.0;   0;   0;   0;eor
       5731;19610306;    5;   0.0;   0;   0;   0;eor
       5731;19610307;    5;   0.0;   0;   0;   0;eor
       5731;19610308;    5;   0.0;   0;   0;   0;eor
       5731;19610309;    5;   0.0;   0;   0;   0;eor
