Monat,2021,2020,2019
1,18218,27113,26021
2,23161,28374,28622
3,25038,23160,29528
4,24803,19268,31076
5,26637,24601,31064
6,29314,29306,31077
7,31118,33151,33032
8,29778,31416,31772
9,nan,32442,31383
10,nan,30133,30910
11,nan,25623,29440
12,nan,21419,27798
