STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       5229;19470101;    5;   0.0;   0;  13;-999;eor
       5229;19470102;    5;   0.0;   0;  11;-999;eor
       5229;19470103;    5;   0.0;   0;  11;-999;eor
       5229;19470104;    5;   0.0;   0;  11;-999;eor
       5229;19470105;    5;   0.0;   0;  11;-999;eor
       5229;19470106;    5;   0.5;   7;  11;-999;eor
       5229;19470107;    5;   0.7;   7;  12;-999;eor
       5229;19470108;    5;   0.7;   7;  12;-999;eor
       5229;19470109;    5;   2.9;   8;  12;-999;eor
       5229;19470110;    5;   0.3;   8;  11;-999;eor
       5229;19470111;    5;  14.5;   8;   9;-999;eor
       5229;19470112;    5;   5.8;   1;   7;-999;eor
       5229;19470113;    5;  11.9;   8;   3;-999;eor
       5229;19470114;    5;   4.7;   8;   0;-999;eor
       5229;19470115;    5;   0.0;   0;   0;-999;eor
       5229;19470116;    5;   0.0;   0;   0;-999;eor
       5229;19470117;    5;   1.5;   1;   0;-999;eor
       5229;19470118;    5;   0.0;   0;   0;-999;eor
       5229;19470119;    5;   0.2;   7;   0;-999;eor
       5229;19470120;    5;   0.0;   0;   0;-999;eor
       5229;19470121;    5;   0.0;   0;   0;-999;eor
       5229;19470122;    5;   0.4;   7;   0;-999;eor
       5229;19470123;    5;   0.0;   7;   2;-999;eor
       5229;19470124;    5;   0.0;   0;   2;-999;eor
       5229;19470125;    5;   0.0;   0;   2;-999;eor
       5229;19470126;    5;   0.5;   7;   2;-999;eor
       5229;19470127;    5;   0.0;   7;   2;-999;eor
       5229;19470128;    5;   0.0;   0;   2;-999;eor
       5229;19470129;    5;   0.0;   0;   2;-999;eor
       5229;19470130;    5;   0.0;   0;   2;-999;eor
       5229;19470131;    5;   0.0;   0;   2;-999;eor
       5229;19470201;    5;   0.0;   0;   2;-999;eor
       5229;19470202;    5;   0.1;   7;   0;-999;eor
       5229;19470203;    5;   0.0;   0;   1;-999;eor
       5229;19470204;    5;   1.5;   7;   0;-999;eor
       5229;19470205;    5;   1.2;   7;   2;-999;eor
       5229;19470206;    5;   1.1;   7;   4;-999;eor
       5229;19470207;    5;   0.0;   0;   7;-999;eor
       5229;19470208;    5;   1.4;   8;   7;-999;eor
       5229;19470209;    5;   0.0;   0;   3;-999;eor
       5229;19470210;    5;   0.0;   1;   0;-999;eor
       5229;19470211;    5;   0.0;   0;   0;-999;eor
       5229;19470212;    5;   0.0;   0;   0;-999;eor
       5229;19470213;    5;   0.0;   0;   0;-999;eor
       5229;19470214;    5;   0.0;   0;   0;-999;eor
       5229;19470215;    5;   0.0;   0;   0;-999;eor
       5229;19470216;    5;   0.3;   7;   0;-999;eor
       5229;19470217;    5;   0.0;   0;   1;-999;eor
       5229;19470218;    5;   0.0;   0;   1;-999;eor
       5229;19470219;    5;   0.0;   0;   0;-999;eor
       5229;19470220;    5;   2.5;   7;   0;-999;eor
       5229;19470221;    5;   7.5;   8;   3;-999;eor
       5229;19470222;    5;   8.5;   8;   0;-999;eor
       5229;19470223;    5;   0.3;   7;   0;-999;eor
       5229;19470224;    5;   3.2;   7;   0;-999;eor
       5229;19470225;    5;   4.4;   7;   3;-999;eor
       5229;19470226;    5;   0.0;   0;   7;-999;eor
       5229;19470227;    5;   3.4;   1;   7;-999;eor
       5229;19470228;    5;   2.1;   8;   2;-999;eor
       5229;19470301;    5;   6.2;   7;   5;-999;eor
       5229;19470302;    5;   0.0;   0;  12;-999;eor
       5229;19470303;    5;   6.4;   7;   8;-999;eor
       5229;19470304;    5;   5.7;   1;  14;-999;eor
       5229;19470305;    5;   7.0;   1;   6;-999;eor
       5229;19470306;    5;   0.7;   1;   0;-999;eor
       5229;19470307;    5;   0.6;   8;   0;-999;eor
       5229;19470308;    5;   0.0;   0;   0;-999;eor
       5229;19470309;    5;   0.0;   7;   0;-999;eor
       5229;19470310;    5;  19.1;   8;   0;-999;eor
       5229;19470311;    5;  13.1;   1;   0;-999;eor
       5229;19470312;    5;   0.0;   0;   0;-999;eor
       5229;19470313;    5;   2.4;   1;   0;-999;eor
       5229;19470314;    5;   9.3;   8;   0;-999;eor
       5229;19470315;    5;   1.0;   7;   2;-999;eor
       5229;19470316;    5;   0.0;   0;   2;-999;eor
       5229;19470317;    5;   0.0;   0;   0;-999;eor
       5229;19470318;    5;   5.3;   1;   0;-999;eor
       5229;19470319;    5;   5.7;   1;   0;-999;eor
       5229;19470320;    5;  11.7;   1;   0;-999;eor
       5229;19470321;    5;   0.4;   1;   0;-999;eor
       5229;19470322;    5;  19.7;   1;   0;-999;eor
       5229;19470323;    5;   4.3;   1;   0;-999;eor
       5229;19470324;    5;   0.9;   1;   0;-999;eor
       5229;19470325;    5;   0.0;   7;   0;-999;eor
       5229;19470326;    5;   0.0;   0;   0;-999;eor
       5229;19470327;    5;   0.0;   0;   0;-999;eor
       5229;19470328;    5;   0.0;   0;   0;-999;eor
       5229;19470329;    5;   1.2;   1;   0;-999;eor
       5229;19470330;    5;   0.0;   0;   0;-999;eor
       5229;19470331;    5;  13.9;   1;   0;-999;eor
       5229;19470401;    5;   0.0;   0;   0;-999;eor
       5229;19470402;    5;   3.1;   1;   0;-999;eor
       5229;19470403;    5;   1.0;   1;   0;-999;eor
       5229;19470404;    5;   5.1;   1;   0;-999;eor
       5229;19470405;    5;   1.4;   1;   0;-999;eor
       5229;19470406;    5;   1.6;   1;   0;-999;eor
       5229;19470407;    5;   0.0;   0;   0;-999;eor
       5229;19470408;    5;   3.3;   1;   0;-999;eor
       5229;19470409;    5;   3.2;   1;   0;-999;eor
       5229;19470410;    5;   0.0;   0;   0;-999;eor
       5229;19470411;    5;   0.0;   0;   0;-999;eor
       5229;19470412;    5;   0.0;   0;   0;-999;eor
       5229;19470413;    5;   0.0;   0;   0;-999;eor
       5229;19470414;    5;   0.0;   0;   0;-999;eor
       5229;19470415;    5;   0.0;   0;   0;-999;eor
       5229;19470416;    5;   0.0;   0;   0;-999;eor
       5229;19470417;    5;   0.5;   1;   0;-999;eor
       5229;19470418;    5;   0.5;   1;   0;-999;eor
       5229;19470419;    5;   7.8;   1;   0;-999;eor
       5229;19470420;    5;   1.8;   1;   0;-999;eor
       5229;19470421;    5;   0.5;   1;   0;-999;eor
       5229;19470422;    5;   1.5;   1;   0;-999;eor
       5229;19470423;    5;   0.3;   1;   0;-999;eor
       5229;19470424;    5;   0.0;   0;   0;-999;eor
       5229;19470425;    5;   0.0;   0;   0;-999;eor
       5229;19470426;    5;   1.1;   1;   0;-999;eor
       5229;19470427;    5;   0.2;   1;   0;-999;eor
       5229;19470428;    5;   2.2;   1;   0;-999;eor
       5229;19470429;    5;   0.0;   0;   0;-999;eor
       5229;19470430;    5;   0.2;   1;   0;-999;eor
       5229;19470501;    5;   1.0;   1;   0;-999;eor
       5229;19470502;    5;   0.0;   0;   0;-999;eor
       5229;19470503;    5;   0.0;   0;   0;-999;eor
       5229;19470504;    5;   6.4;   1;   0;-999;eor
       5229;19470505;    5;  14.4;   1;   0;-999;eor
       5229;19470506;    5;   0.0;   0;   0;-999;eor
       5229;19470507;    5;   0.0;   0;   0;-999;eor
       5229;19470508;    5;   0.6;   1;   0;-999;eor
       5229;19470509;    5;   0.2;   1;   0;-999;eor
       5229;19470510;    5;   2.8;   1;   0;-999;eor
       5229;19470511;    5;   0.0;   0;   0;-999;eor
       5229;19470512;    5;   0.0;   0;   0;-999;eor
       5229;19470513;    5;   0.0;   0;   0;-999;eor
       5229;19470514;    5;   3.2;   1;   0;-999;eor
       5229;19470515;    5;   2.6;   1;   0;-999;eor
       5229;19470516;    5;   5.6;   1;   0;-999;eor
       5229;19470517;    5;   2.3;   1;   0;-999;eor
       5229;19470518;    5;   0.0;   1;   0;-999;eor
       5229;19470519;    5;   3.4;   1;   0;-999;eor
       5229;19470520;    5;   0.6;   1;   0;-999;eor
       5229;19470521;    5;   3.7;   1;   0;-999;eor
       5229;19470522;    5;   1.4;   1;   0;-999;eor
       5229;19470523;    5;   4.6;   1;   0;-999;eor
       5229;19470524;    5;   0.4;   1;   0;-999;eor
       5229;19470525;    5;   0.0;   0;   0;-999;eor
       5229;19470526;    5;   0.0;   0;   0;-999;eor
       5229;19470527;    5;   0.8;   1;   0;-999;eor
       5229;19470528;    5;   0.0;   0;   0;-999;eor
       5229;19470529;    5;   0.0;   0;   0;-999;eor
       5229;19470530;    5;   0.0;   0;   0;-999;eor
       5229;19470531;    5;   0.0;   0;   0;-999;eor
       5229;19470601;    5;   0.0;   1;   0;-999;eor
       5229;19470602;    5;   0.5;   1;   0;-999;eor
       5229;19470603;    5;   0.0;   0;   0;-999;eor
       5229;19470604;    5;   9.0;   1;   0;-999;eor
       5229;19470605;    5;   0.0;   0;   0;-999;eor
       5229;19470606;    5;  10.6;   1;   0;-999;eor
       5229;19470607;    5;   4.8;   1;   0;-999;eor
       5229;19470608;    5;   1.6;   1;   0;-999;eor
       5229;19470609;    5;   1.4;   1;   0;-999;eor
       5229;19470610;    5;   0.0;   0;   0;-999;eor
       5229;19470611;    5;   0.0;   0;   0;-999;eor
       5229;19470612;    5;   0.0;   0;   0;-999;eor
       5229;19470613;    5;   1.2;   1;   0;-999;eor
       5229;19470614;    5;   0.0;   0;   0;-999;eor
       5229;19470615;    5;   8.5;   1;   0;-999;eor
       5229;19470616;    5;   0.0;   0;   0;-999;eor
       5229;19470617;    5;   0.0;   0;   0;-999;eor
       5229;19470618;    5;   0.0;   0;   0;-999;eor
       5229;19470619;    5;   0.0;   1;   0;-999;eor
       5229;19470620;    5;   0.0;   0;   0;-999;eor
       5229;19470621;    5;   0.0;   0;   0;-999;eor
       5229;19470622;    5;   2.8;   1;   0;-999;eor
       5229;19470623;    5;   0.0;   0;   0;-999;eor
       5229;19470624;    5;   0.0;   0;   0;-999;eor
       5229;19470625;    5;   0.0;   0;   0;-999;eor
       5229;19470626;    5;   0.0;   0;   0;-999;eor
       5229;19470627;    5;   0.0;   0;   0;-999;eor
       5229;19470628;    5;   0.0;   0;   0;-999;eor
